0,175802.0,interval
0,175802.0,box
1,180655.07,interval
1,180851.05904924095,box
2,185508.13999999998,interval
2,186111.27172654585,box
3,190361.21000000002,interval
3,191522.25768829457,box
4,195214.27999999997,interval
4,197055.11598258367,box
5,200067.34999999998,interval
5,202690.82129522567,box
6,204920.41999999998,interval
6,208415.25784160654,box
7,209773.49,interval
7,214217.33352024836,box
8,214626.56000000006,interval
8,220088.04038881676,box
9,219479.63000000003,interval
9,226019.9041833989,box
10,224332.7000000001,interval
10,232006.62683592606,box
11,229185.77000000005,interval
11,238042.8380388278,box
12,234038.84,interval
12,244123.91438904026,box
13,238891.91000000003,interval
13,250245.84329201904,box
14,243744.98000000004,interval
14,256405.11798802888,box
15,248598.05000000008,interval
15,262598.6550183936,box
16,253451.12000000005,interval
16,268823.72832863755,box
17,258304.19,interval
17,275077.9159803197,box
18,263157.2599999999,interval
18,281359.056590527,box
19,268010.33,interval
19,287665.2133882868,box
20,272863.3999999999,interval
20,293994.64431061526,box
21,277716.47,interval
21,300345.7769398914,box
22,282569.54000000004,interval
22,306717.1873592283,box
23,287422.61,interval
23,313107.5822056318,box
24,292275.67999999993,interval
24,319515.78335312207,box
25,297128.7499999999,interval
25,325940.7147738372,box
26,301981.81999999995,interval
26,332381.39121425047,box
27,306834.8899999999,interval
27,338836.908392905,box
28,311687.95999999996,interval
28,345306.4344804353,box
29,316541.03,interval
29,351789.20266566443,box
30,321394.1000000001,interval
30,358284.504645879,box
31,326247.17000000004,interval
31,364791.68490695616,box
32,331100.24,interval
32,371310.1356813078,box
33,335953.31,interval
33,377839.2924897466,box
34,340806.38,interval
34,384378.63018821744,box
35,345659.44999999995,interval
35,390927.6594525521,box
36,350512.52,interval
36,397485.9236444981,box
37,355365.58999999997,interval
37,404052.99601065763,box
38,360218.66000000003,interval
38,410628.4771729709,box
39,365071.7300000001,interval
39,417211.9928752395,box
40,369924.79999999993,interval
40,423803.19195511617,box
41,374777.87000000005,interval
41,430401.74451515335,box
42,379630.94,interval
42,437007.3402700305,box
43,384484.0100000001,interval
43,443619.68705007865,box
44,389337.0800000001,interval
44,450238.50944378565,box
45,394190.14999999997,interval
45,456863.54756414995,box
46,399043.22000000003,interval
46,463494.55592563294,box
47,403896.29000000004,interval
47,470131.30242008425,box
48,408749.3600000001,interval
48,476773.5673813989,box
49,413602.43000000005,interval
49,483421.14272988745,box
50,418455.4999999997,interval
50,490073.8311883767,box
