
1,258213,None
2,258138,258213
3,258254,258138
4,258114,258138
5,258273,258114
6,258142,258114
7,258091,258114
8,258313,258091
9,258100,258091
10,258163,258091
11,258071,258091
12,258095,258071
13,258119,258071
14,258131,258071
15,258083,258071
16,258153,258071
17,258125,258071
18,257987,258071
19,258231,257987
20,258112,257987
21,258238,257987
22,258313,257987
23,258251,257987
24,258260,257987
25,258207,257987
26,258209,257987
27,258189,257987
28,258164,257987
29,258067,257987
30,258087,257987
31,258035,257987
32,258293,257987
33,258193,257987
34,258013,257987
35,258196,257987
36,258090,257987
37,258040,257987
38,258116,257987
39,258165,257987
40,258137,257987
41,258027,257987
42,258066,257987
43,258184,257987
44,258228,257987
45,258211,257987
46,258068,257987
47,258245,257987
48,258253,257987
49,258054,257987
50,258132,257987
best result is: 257987
