Percentage Deviation,Objective Value
0,96116
0.1,96470.22539
0.2,96824.45079
0.3,97178.67618
0.4,97532.90158
0.5,97887.12697
0.6,98241.35236
0.7,98595.57776
0.8,98949.80315
0.9,99304.02855
1,99658.25394
1.1,100012.4793
1.2,100366.7047
1.3,100720.9301
1.4,101075.1555
1.5,101429.3809
1.6,101783.6063
1.7,102137.8317
1.8,102492.0571
1.9,102846.2825
2,103200.5079
2.1,103554.7333
2.2,103908.9587
2.3,104263.1841
2.4,104617.4095
2.5,104971.6348
2.6,105325.8602
2.7,105680.0856
2.8,106034.311
2.9,106388.5364
3,106742.7618
3.1,107096.9872
3.2,107451.2126
3.3,107805.438
3.4,108159.6634
3.5,108513.8888
3.6,108868.1142
3.7,109222.3396
3.8,109576.565
3.9,109930.7904
4,110285.0158
4.1,110639.2412
4.2,110993.4665
4.3,111347.6919
4.4,111701.9173
4.5,112056.1427
4.6,112410.3681
4.7,112764.5935
4.8,113118.8189
4.9,113473.0443
5,113827.2697
